gene,ctrl differences,FDR,fold
HP1302,1,0.0292,0.610367602
HP1309,1,0.000968,0.525569071
HP1310,1,0.0117,0.54330962
HP1318,1,0.001,0.557657119
HP1322,2,8.77e-07,2.026891918
HP1325,1,2.36e-06,0.443721663
HP1328,2,0.114,1.717174922
HP1329,3,0.0961,1.655420268
HP1331,1,9.58e-10,2.47990071
HP1333,1,0.101,0.707124983
HP1334,1,0.154,0.505499624
HP1335,1,0.583,1.113878136
HP1336,1,2.45e-12,2.665276491
HP1341,1,0.129,1.320497783
HP1342,1,0.00172,1.592169903
HP1344,1,0.0314,0.740959486
HP1346,1,0.737,0.946876757
HP1348,1,0.0449,1.542907279
HP1349,3,0.194,1.219531135
HP1350,1,0.66,0.912959687
HP1352,1,0.257,0.840398633
HP1353,1,0.483,1.316597162
HP1354,2,0.207,0.809267615
HP1361,3,0.0183,1.671100205
HP1362,2,0.721,0.941632193
HP1363,3,0.011,1.574480743
HP1366,1,0.00947,1.636546191
HP1371,1,0.898,1.065347854
HP1373,1,0.414,0.864104933
HP1375,1,0.052,0.716611517
HP1383,1,0.809,0.96109196
HP1385,1,0.418,0.87066852
HP1387,2,0.000154,1.684311195
HP1393,1,0.166,1.363942723
HP1396,2,0.83,1.036538337
HP1397,1,0.254,0.821733223
HP1400,3,0.396,0.843939527
HP1402,1,0.418,1.127104938
HP1403,2,0.0759,0.762255247
HP1409,2,0.616,0.862285544
HP1410,1,1.0,0.999980885
HP1413,1,0.0203,0.720802175
HP1417,2,0.192,0.798645585
HP1420,1,7.26e-05,1.911394804
HP1421,1,0.00174,1.545207351
HP1422,1,0.255,0.820989159
HP1427,1,0.242,0.416787394
HP1428,1,8.79e-10,2.527230175
HP1431,1,3.47e-09,2.797541627
HP1433,1,3.04e-05,1.850216374
HP1435,2,0.0625,1.337510128
HP1437,1,0.586,1.239203484
HP1438,1,0.737,1.172891111
HP1440,1,0.683,1.095753464
HP1441,1,0.784,1.06022517
HP1450,1,0.00228,0.634667248
HP1452,1,0.873,1.035155076
HP1453,3,0.000245,0.530185985
HP1454,2,0.583,1.133102336
HP1456,1,0.638,0.886425879
HP1459,1,0.145,1.271295434
HP1460,1,0.537,0.899092659
HP1461,1,1.84e-06,2.04033478
HP1462,1,0.0353,1.464888947
HP1466,3,1.26e-06,2.186328425
HP1468,1,0.0821,0.741399205
HP1469,1,3.76e-10,0.33773637
HP1470,1,0.485,0.8986514
HP1471,1,0.789,1.067714324
HP1472,1,0.717,1.075740266
HP1473,2,0.00555,1.960255427
HP1476,2,0.4,0.872478872
HP1477,1,0.0184,1.809332549
HP1478,2,0.000464,1.89407062
HP1479,2,0.000956,1.733856581
HP1480,3,0.00831,1.523408312
HP1483,1,0.804,1.050432714
HP1487,1,0.123,1.290043338
HP1489,2,0.33,1.164261337
HP1491,1,0.0838,1.285362173
HP1494,2,6.63e-07,2.094924826
HP1498,1,0.000175,2.139968379
HP1499,1,2.34e-20,5.165225561
HP1501,2,5.85e-12,0.299408865
HP1503,1,0.295,0.79712577
HP1504,1,0.037,1.363453403
HP1507,1,0.00623,1.627693031
HP1512,1,4.11e-11,0.296148302
HP1514,3,0.0011,0.591393809
HP1517,3,0.578,0.900841997
HP1521,1,0.504,1.500611304
HP1522,3,0.314,0.849100785
HP1525,1,0.0939,1.355523798
HP1527,2,4.1099999999999995e-48,0.10025148
HP1530,3,0.508,0.891070546
HP1532,2,0.0386,0.749264382
HP1538,2,0.916,0.975455009
HP1540,2,0.611,1.118199628
HP1541,5,0.345,1.190793487
HP1547,1,0.174,1.264509856
HP1550,1,0.0345,0.724975026
HP1552,1,0.0363,0.749626558
HP1553,2,0.557,1.102236933
HP1555,1,0.595,1.114879595
HP1559,1,0.971,0.990636348
HP1560,1,0.00348,0.653469605
HP1561,1,1.65e-11,0.31418033
HP1563,1,0.0141,0.273388153
HP1565,3,0.925,1.037838874
HP1567,1,0.000105,2.160765493
HP1569,2,9.87e-07,2.034960692
HP1571,1,3.98e-10,2.522457811
HP1573,2,0.206,1.217331852
HP1574,1,9.25e-05,0.519495952
HP1583,1,4.97e-06,0.481975643
HP1589,2,0.0795,1.868915887
HP1590,1,0.000107,0.484238973
